iter	Passed	Remaining
0	149	148877
1	151	75820
2	154	51465
3	157	39208
4	161	32067
5	165	27340
6	169	24070
7	174	21649
8	178	19613
9	181	17927
10	184	16581
11	188	15510
12	192	14617
13	196	13841
14	200	13142
15	203	12522
16	207	11998
17	211	11544
18	216	11152
19	219	10752
20	223	10422
21	227	10134
22	232	9870
23	238	9695
24	242	9453
25	247	9260
26	251	9062
27	255	8858
28	258	8642
29	260	8438
30	263	8250
31	266	8069
32	269	7890
33	271	7718
34	273	7546
35	275	7368
36	277	7213
37	278	7055
38	279	6893
39	281	6753
40	283	6630
41	285	6501
42	286	6370
43	288	6258
44	289	6142
45	290	6022
46	291	5911
47	293	5822
48	296	5744
49	298	5674
50	300	5590
51	301	5498
52	302	5413
53	304	5339
54	306	5259
55	307	5177
56	308	5105
57	310	5047
58	312	4976
59	313	4909
60	315	4851
61	316	4791
62	317	4727
63	319	4670
64	321	4625
65	322	4567
66	324	4512
67	325	4455
68	326	4407
69	327	4356
70	329	4310
71	332	4280
72	333	4235
73	335	4202
74	338	4171
75	339	4127
76	343	4112
77	344	4069
78	345	4028
79	347	4000
80	349	3962
81	350	3922
82	352	3891
83	354	3864
84	355	3822
85	356	3785
86	357	3752
87	359	3726
88	360	3691
89	361	3655
90	363	3628
91	365	3606
92	366	3575
93	367	3544
94	369	3521
95	371	3497
96	372	3466
97	373	3437
98	375	3415
99	376	3390
100	377	3362
101	378	3332
102	380	3313
103	381	3287
104	382	3260
105	383	3236
106	385	3215
107	386	3196
108	388	3171
109	389	3151
110	392	3140
111	393	3118
112	394	3095
113	395	3075
114	397	3056
115	398	3033
116	399	3011
117	400	2993
118	402	2977
119	403	2958
120	404	2938
121	405	2920
122	406	2899
123	408	2883
124	409	2863
125	410	2844
126	411	2827
127	412	2809
128	413	2791
129	414	2773
130	415	2755
131	417	2744
132	418	2731
133	419	2713
134	420	2697
135	422	2681
136	423	2668
137	424	2650
138	425	2633
139	426	2617
140	427	2602
141	429	2593
142	430	2577
143	430	2561
144	432	2547
145	434	2538
146	435	2528
147	436	2514
148	437	2501
149	439	2491
150	441	2481
151	442	2467
152	443	2453
153	444	2443
154	446	2434
155	447	2420
156	448	2407
157	450	2398
158	451	2389
159	452	2377
160	453	2365
161	455	2354
162	457	2348
163	458	2336
164	459	2324
165	460	2313
166	463	2313
167	465	2304
168	466	2295
169	468	2288
170	469	2277
171	471	2267
172	472	2260
173	474	2253
174	475	2242
175	477	2237
176	480	2232
177	481	2224
178	483	2218
179	485	2210
180	485	2197
181	487	2191
182	489	2183
183	490	2174
184	491	2166
185	493	2159
186	494	2151
187	496	2142
188	497	2135
189	499	2129
190	500	2121
191	502	2113
192	503	2105
193	505	2098
194	506	2090
195	507	2081
196	508	2074
197	510	2067
198	511	2059
199	513	2052
200	515	2047
201	516	2039
202	517	2030
203	518	2022
204	520	2016
205	521	2010
206	522	2002
207	523	1994
208	525	1989
209	526	1982
210	527	1974
211	529	1966
212	530	1961
213	531	1953
214	532	1945
215	534	1939
216	536	1935
217	537	1928
218	538	1920
219	539	1914
220	541	1909
221	542	1901
222	543	1894
223	544	1886
224	546	1882
225	548	1876
226	548	1869
227	549	1861
228	550	1854
229	552	1850
230	553	1843
231	554	1835
232	555	1829
233	557	1824
234	559	1822
235	560	1814
236	561	1808
237	563	1803
238	565	1799
239	566	1792
240	566	1785
241	568	1779
242	569	1775
243	570	1769
244	572	1762
245	573	1757
246	575	1753
247	576	1747
248	577	1740
249	578	1734
250	579	1729
251	581	1725
252	582	1719
253	583	1714
254	585	1709
255	586	1705
256	587	1699
257	588	1692
258	589	1687
259	591	1683
260	592	1678
261	593	1671
262	594	1666
263	596	1663
264	598	1658
265	599	1653
266	600	1649
267	602	1646
268	603	1641
269	606	1640
270	609	1640
271	612	1638
272	613	1634
273	614	1629
274	616	1624
275	617	1620
276	619	1618
277	621	1612
278	622	1608
279	624	1605
280	625	1600
281	626	1595
282	627	1590
283	629	1587
284	630	1582
285	632	1577
286	633	1573
287	635	1570
288	636	1565
289	637	1560
290	638	1556
291	640	1553
292	641	1549
293	642	1543
294	644	1539
295	646	1538
296	648	1533
297	649	1529
298	650	1525
299	652	1521
300	653	1517
301	654	1512
302	655	1507
303	657	1506
304	659	1501
305	660	1497
306	661	1493
307	663	1490
308	664	1486
309	665	1481
310	667	1477
311	668	1475
312	670	1471
313	671	1467
314	674	1467
315	675	1462
316	676	1458
317	678	1454
318	680	1452
319	681	1448
320	682	1444
321	684	1441
322	686	1438
323	687	1434
324	688	1430
325	690	1426
326	691	1423
327	692	1418
328	693	1414
329	695	1411
330	696	1407
331	697	1403
332	698	1398
333	699	1395
334	701	1391
335	702	1388
336	703	1384
337	705	1380
338	707	1379
339	708	1375
340	709	1370
341	710	1366
342	712	1365
343	713	1360
344	714	1356
345	715	1352
346	716	1348
347	718	1346
348	719	1342
349	720	1338
350	722	1335
351	723	1332
352	724	1328
353	725	1324
354	726	1320
355	728	1317
356	729	1314
357	730	1310
358	731	1306
359	733	1303
360	734	1300
361	735	1296
362	736	1292
363	737	1289
364	739	1285
365	740	1282
366	740	1277
367	741	1273
368	742	1269
369	743	1266
370	745	1264
371	746	1260
372	747	1257
373	749	1253
374	750	1250
375	751	1246
376	752	1242
377	753	1239
378	755	1237
379	756	1234
