iter	Passed	Remaining
0	1	1310
1	2	1053
2	2	977
3	3	930
4	4	909
5	5	890
6	6	870
7	7	881
8	7	875
9	8	871
10	9	862
11	10	852
12	11	843
13	11	834
14	12	827
15	13	832
16	14	835
17	15	833
18	16	829
19	16	826
20	17	826
21	18	823
22	19	820
23	20	824
24	21	819
25	21	812
26	22	808
27	23	804
28	23	801
29	24	797
30	25	794
31	26	798
32	27	795
33	27	792
34	28	790
35	29	789
36	30	787
37	31	785
38	31	783
39	32	785
40	33	783
41	34	780
42	34	777
43	35	776
44	36	774
45	37	772
46	37	770
47	38	771
48	39	770
49	40	769
50	41	766
51	41	764
52	42	765
53	43	764
54	44	762
55	45	764
56	46	762
57	46	760
58	47	758
59	48	756
60	49	755
61	49	753
62	50	751
63	51	751
64	52	751
65	52	749
66	53	748
67	54	747
68	55	745
69	55	743
70	56	742
71	57	741
72	58	741
73	59	741
74	59	739
75	60	737
76	61	734
77	61	731
78	62	729
79	63	727
80	64	726
81	64	724
82	65	719
83	65	716
84	66	714
85	67	712
86	67	710
87	68	708
88	69	706
89	69	704
90	70	705
91	71	704
92	72	703
93	72	701
94	73	700
95	74	698
96	74	696
97	75	695
98	76	693
99	77	693
100	77	691
101	78	690
102	79	688
103	79	686
104	80	685
105	81	683
106	81	681
107	82	680
108	83	679
109	83	678
110	85	681
111	85	680
112	86	678
113	87	676
114	87	674
115	88	672
116	88	669
117	89	668
118	90	667
119	90	665
120	91	664
121	91	661
122	92	660
123	93	658
124	93	656
125	94	655
126	95	653
127	95	652
128	96	651
129	97	650
130	97	648
131	98	647
132	99	646
133	99	645
134	100	646
135	101	645
136	102	645
137	103	648
138	104	648
139	105	649
140	106	649
141	107	646
142	107	645
143	109	651
144	110	650
145	111	649
146	111	648
147	112	647
148	113	646
149	114	646
150	115	650
151	116	651
152	117	651
153	118	651
154	119	650
155	120	649
156	121	650
157	121	649
158	122	647
159	123	646
160	123	644
161	124	643
162	125	642
163	125	640
164	126	639
165	127	639
166	127	638
167	128	637
168	129	635
169	129	634
170	130	633
171	131	632
172	131	630
173	132	629
174	133	628
175	134	627
176	134	626
177	135	625
178	136	623
179	136	622
180	137	621
181	137	619
182	138	618
183	139	617
184	140	616
185	140	615
186	141	614
187	142	613
188	142	612
189	143	610
190	143	609
191	144	608
192	145	607
193	145	606
194	146	605
195	147	604
196	148	603
197	148	602
198	149	601
199	149	599
200	150	598
201	151	597
202	151	596
203	152	595
204	153	594
205	153	593
206	154	592
207	155	591
208	155	590
209	156	589
210	157	587
211	157	586
212	158	585
213	159	585
214	159	583
215	160	582
216	161	581
217	161	580
218	162	579
219	163	577
220	163	576
221	164	575
222	165	575
223	165	574
224	166	573
225	167	572
226	167	570
227	168	569
228	168	568
229	169	567
230	170	566
231	170	565
232	171	565
233	172	563
234	172	562
235	173	561
236	174	560
237	174	559
238	175	558
